date,value
2006/1/1/0.5,8013.27833
2006/1/1/1.0,7726.89167
2006/1/1/1.5,7372.85833
2006/1/1/2.0,7071.83333
2006/1/1/2.5,6865.44
2006/1/1/3.0,6685.92667
2006/1/1/3.5,6548.62833
2006/1/1/4.0,6487.83667
2006/1/1/4.5,6449.17833
2006/1/1/5.0,6388.27833
2006/1/1/5.5,6395.48
2006/1/1/6.0,6494.33333
2006/1/1/6.5,6715.20167
2006/1/1/7.0,7062.48
2006/1/1/7.5,7532.11667
2006/1/1/8.0,8037.86833
2006/1/1/8.5,8623.735
2006/1/1/9.0,9169.365
2006/1/1/9.5,9600.79
2006/1/1/10.0,10005.305
2006/1/1/10.5,10264.63167
2006/1/1/11.0,10463.60333
2006/1/1/11.5,10647.80833
2006/1/1/12.0,10682.93667
2006/1/1/12.5,10787.545
2006/1/1/13.0,10842.33167
2006/1/1/13.5,10907.03
2006/1/1/14.0,10859.58833
2006/1/1/14.5,10903.85167
2006/1/1/15.0,10900.735
2006/1/1/15.5,10952.31
2006/1/1/16.0,10948.03167
2006/1/1/16.5,10904.45333
2006/1/1/17.0,10997.89667
2006/1/1/17.5,11026.05
2006/1/1/18.0,11009.98667
2006/1/1/18.5,10923.48667
2006/1/1/19.0,10894.9
2006/1/1/19.5,10952.21833
2006/1/1/20.0,11112.76333
2006/1/1/20.5,10821.02
2006/1/1/21.0,10247.085
2006/1/1/21.5,9842.20667
2006/1/1/22.0,9345.815
2006/1/1/22.5,8924.16
2006/1/1/23.0,8416.87333
2006/1/1/23.5,8044.81833
2006/1/2/0.0,7737.02833
2006/1/2/0.5,7378.52333
2006/1/2/1.0,7146.215
2006/1/2/1.5,6852.245
2006/1/2/2.0,6643.685
2006/1/2/2.5,6529.54833
2006/1/2/3.0,6448.595
2006/1/2/3.5,6375.28833
2006/1/2/4.0,6364.80333
2006/1/2/4.5,6423.77333
2006/1/2/5.0,6427.65333
2006/1/2/5.5,6568.18833
2006/1/2/6.0,6636.45667
2006/1/2/6.5,6802.52833
2006/1/2/7.0,6990.35833
2006/1/2/7.5,7159.07
2006/1/2/8.0,7482.43833
2006/1/2/8.5,7721.50833
2006/1/2/9.0,8007.92
2006/1/2/9.5,8194.55833
2006/1/2/10.0,8287.84
2006/1/2/10.5,8354.12167
2006/1/2/11.0,8398.81333
2006/1/2/11.5,8348.86
2006/1/2/12.0,8341.38667
2006/1/2/12.5,8324.505
2006/1/2/13.0,8322.00667
2006/1/2/13.5,8303.15167
2006/1/2/14.0,8314.05333
2006/1/2/14.5,8319.595
2006/1/2/15.0,8327.145
2006/1/2/15.5,8328.98
2006/1/2/16.0,8351.05
2006/1/2/16.5,8389.24
2006/1/2/17.0,8456.72833
2006/1/2/17.5,8353.72333
2006/1/2/18.0,8334.12667
2006/1/2/18.5,8191.81
2006/1/2/19.0,8087.22333
2006/1/2/19.5,8056.53667
2006/1/2/20.0,8280.22
2006/1/2/20.5,8096.09333
2006/1/2/21.0,7884.9
2006/1/2/21.5,7911.675
2006/1/2/22.0,7816.335
2006/1/2/22.5,7808.34833
2006/1/2/23.0,7632.93667
2006/1/2/23.5,7429.40333
2006/1/3/0.0,7254.75333
2006/1/3/0.5,7069.56833
2006/1/3/1.0,6853.235
2006/1/3/1.5,6521.88
2006/1/3/2.0,6255.02833
2006/1/3/2.5,6090.655
2006/1/3/3.0,6046.28333
2006/1/3/3.5,6035.49833
2006/1/3/4.0,6040.67667
2006/1/3/4.5,6143.955
2006/1/3/5.0,6316.1
2006/1/3/5.5,6706.71667
2006/1/3/6.0,7114.53
2006/1/3/6.5,7488.11833
2006/1/3/7.0,7939.335
2006/1/3/7.5,8431.57333
2006/1/3/8.0,8885.89667
2006/1/3/8.5,9354.92167
2006/1/3/9.0,9577.29
2006/1/3/9.5,9787.94
2006/1/3/10.0,9957.565
2006/1/3/10.5,10097.47167
2006/1/3/11.0,10197.69167
2006/1/3/11.5,10313.15
2006/1/3/12.0,10326.965
2006/1/3/12.5,10441.28333
2006/1/3/13.0,10536.01167
2006/1/3/13.5,10658.27
2006/1/3/14.0,10674.235
2006/1/3/14.5,10647.035
2006/1/3/15.0,10671.07667
2006/1/3/15.5,10642.90167
2006/1/3/16.0,10606.66833
2006/1/3/16.5,10439.75333
2006/1/3/17.0,10246.81
2006/1/3/17.5,9837.41167
2006/1/3/18.0,9631.52333
2006/1/3/18.5,9280.94667
2006/1/3/19.0,8988.575
2006/1/3/19.5,8951.84167
2006/1/3/20.0,8967.45667
2006/1/3/20.5,8740.82667
2006/1/3/21.0,8452.16833
2006/1/3/21.5,8436.54167
2006/1/3/22.0,8259.34667
2006/1/3/22.5,8184.60333
2006/1/3/23.0,8010.57667
2006/1/3/23.5,7780.86167
2006/1/4/0.0,7526.44167
2006/1/4/0.5,7340.255
2006/1/4/1.0,7113.48333
2006/1/4/1.5,6772.77
2006/1/4/2.0,6490.73167
2006/1/4/2.5,6332.30333
2006/1/4/3.0,6252.63333
2006/1/4/3.5,6232.96667
2006/1/4/4.0,6250.015
2006/1/4/4.5,6422.30833
2006/1/4/5.0,6609.35667
2006/1/4/5.5,6995.36333
2006/1/4/6.0,7333.25833
2006/1/4/6.5,7638.99833
2006/1/4/7.0,8009.26167
2006/1/4/7.5,8336.075
2006/1/4/8.0,8615.20333
2006/1/4/8.5,8957.15333
2006/1/4/9.0,9037.27667
