,Time,value
0,2006-01-01 00:30:00,8013.27833
1,2006-01-01 01:00:00,7726.89167
2,2006-01-01 01:30:00,7372.85833
3,2006-01-01 02:00:00,7071.83333
4,2006-01-01 02:30:00,6865.44
5,2006-01-01 03:00:00,6685.92667
6,2006-01-01 03:30:00,6548.62833
7,2006-01-01 04:00:00,6487.83667
8,2006-01-01 04:30:00,6449.17833
9,2006-01-01 05:00:00,6388.27833
10,2006-01-01 05:30:00,6395.48
11,2006-01-01 06:00:00,6494.33333
12,2006-01-01 06:30:00,6715.20167
13,2006-01-01 07:00:00,7062.48
14,2006-01-01 07:30:00,7532.11667
15,2006-01-01 08:00:00,8037.86833
16,2006-01-01 08:30:00,8623.735
17,2006-01-01 09:00:00,9169.365
18,2006-01-01 09:30:00,9600.79
19,2006-01-01 10:00:00,10005.305
20,2006-01-01 10:30:00,10264.63167
21,2006-01-01 11:00:00,10463.60333
22,2006-01-01 11:30:00,10647.80833
23,2006-01-01 12:00:00,10682.93667
24,2006-01-01 12:30:00,10787.545
25,2006-01-01 13:00:00,10842.33167
26,2006-01-01 13:30:00,10907.03
27,2006-01-01 14:00:00,10859.58833
28,2006-01-01 14:30:00,10903.85167
29,2006-01-01 15:00:00,10900.735
30,2006-01-01 15:30:00,10952.31
31,2006-01-01 16:00:00,10948.03167
32,2006-01-01 16:30:00,10904.45333
33,2006-01-01 17:00:00,10997.89667
34,2006-01-01 17:30:00,11026.05
35,2006-01-01 18:00:00,11009.98667
36,2006-01-01 18:30:00,10923.48667
37,2006-01-01 19:00:00,10894.9
38,2006-01-01 19:30:00,10952.21833
39,2006-01-01 20:00:00,11112.76333
40,2006-01-01 20:30:00,10821.02
41,2006-01-01 21:00:00,10247.085
42,2006-01-01 21:30:00,9842.20667
43,2006-01-01 22:00:00,9345.815
44,2006-01-01 22:30:00,8924.16
45,2006-01-01 23:00:00,8416.87333
46,2006-01-01 23:30:00,8044.81833
47,2006-01-02 00:00:00,7737.02833
48,2006-01-02 00:30:00,7378.52333
49,2006-01-02 01:00:00,7146.215
50,2006-01-02 01:30:00,6852.245
51,2006-01-02 02:00:00,6643.685
52,2006-01-02 02:30:00,6529.54833
53,2006-01-02 03:00:00,6448.595
54,2006-01-02 03:30:00,6375.28833
55,2006-01-02 04:00:00,6364.80333
56,2006-01-02 04:30:00,6423.77333
57,2006-01-02 05:00:00,6427.65333
58,2006-01-02 05:30:00,6568.18833
59,2006-01-02 06:00:00,6636.45667
60,2006-01-02 06:30:00,6802.52833
61,2006-01-02 07:00:00,6990.35833
62,2006-01-02 07:30:00,7159.07
63,2006-01-02 08:00:00,7482.43833
64,2006-01-02 08:30:00,7721.50833
65,2006-01-02 09:00:00,8007.92
66,2006-01-02 09:30:00,8194.55833
67,2006-01-02 10:00:00,8287.84
68,2006-01-02 10:30:00,8354.12167
69,2006-01-02 11:00:00,8398.81333
70,2006-01-02 11:30:00,8348.86
71,2006-01-02 12:00:00,8341.38667
72,2006-01-02 12:30:00,8324.505
73,2006-01-02 13:00:00,8322.00667
74,2006-01-02 13:30:00,8303.15167
75,2006-01-02 14:00:00,8314.05333
76,2006-01-02 14:30:00,8319.595
77,2006-01-02 15:00:00,8327.145
78,2006-01-02 15:30:00,8328.98
79,2006-01-02 16:00:00,8351.05
80,2006-01-02 16:30:00,8389.24
81,2006-01-02 17:00:00,8456.72833
82,2006-01-02 17:30:00,8353.72333
83,2006-01-02 18:00:00,8334.12667
84,2006-01-02 18:30:00,8191.81
85,2006-01-02 19:00:00,8087.22333
86,2006-01-02 19:30:00,8056.53667
87,2006-01-02 20:00:00,8280.22
88,2006-01-02 20:30:00,8096.09333
89,2006-01-02 21:00:00,7884.9
90,2006-01-02 21:30:00,7911.675
91,2006-01-02 22:00:00,7816.335
92,2006-01-02 22:30:00,7808.34833
93,2006-01-02 23:00:00,7632.93667
94,2006-01-02 23:30:00,7429.40333
