日期,小时,干球温度,电力负荷
2006/1/1,0.5,23.9,8013.27833
2006/1/1,1,23.9,7726.89167
2006/1/1,1.5,23.8,7372.85833
2006/1/1,2,23.7,7071.83333
2006/1/1,2.5,23.7,6865.44
2006/1/1,3,23.7,6685.92667
2006/1/1,3.5,23.6,6548.62833
2006/1/1,4,23.5,6487.83667
2006/1/1,4.5,23.5,6449.17833
2006/1/1,5,23.5,6388.27833
2006/1/1,5.5,23.75,6395.48
2006/1/1,6,24,6494.33333
2006/1/1,6.5,24.7,6715.20167
2006/1/1,7,25.40000001,7062.48
2006/1/1,7.5,27.35,7532.11667
2006/1/1,8,29.3,8037.86833
2006/1/1,8.5,32.15000001,8623.735
2006/1/1,9,35,9169.365
2006/1/1,9.5,36.65,9600.79
2006/1/1,10,38.3,10005.305
2006/1/1,10.5,39.15,10264.63167
2006/1/1,11,40,10463.60333
2006/1/1,11.5,40.7,10647.80833
2006/1/1,12,41.4,10682.93667
2006/1/1,12.5,42.05,10787.545
2006/1/1,13,42.7,10842.33167
2006/1/1,13.5,43.05,10907.03
2006/1/1,14,43.4,10859.58833
2006/1/1,14.5,43.6,10903.85167
2006/1/1,15,43.8,10900.735
2006/1/1,15.5,43.8,10952.31
2006/1/1,16,43.8,10948.03167
2006/1/1,16.5,43.5,10904.45333
2006/1/1,17,43.2,10997.89667
2006/1/1,17.5,42.5,11026.05
2006/1/1,18,41.8,11009.98667
2006/1/1,18.5,40.55,10923.48667
2006/1/1,19,39.29999999,10894.9
2006/1/1,19.5,38.2,10952.21833
2006/1/1,20,37.1,11112.76333
2006/1/1,20.5,31.14999998,10821.02
2006/1/1,21,25.2,10247.085
2006/1/1,21.5,24.5,9842.20667
2006/1/1,22,23.8,9345.815
2006/1/1,22.5,23.45,8924.16
2006/1/1,23,23.1,8416.87333
2006/1/1,23.5,22.95,8044.81833
2006/1/2,0,22.8,7737.02833
2006/1/2,0.5,22.85,7378.52333
2006/1/2,1,22.9,7146.215
2006/1/2,1.5,22.45,6852.245
2006/1/2,2,22,6643.685
2006/1/2,2.5,21.75,6529.54833
2006/1/2,3,21.5,6448.595
2006/1/2,3.5,21.25,6375.28833
2006/1/2,4,21,6364.80333
2006/1/2,4.5,20.85,6423.77333
2006/1/2,5,20.7,6427.65333
2006/1/2,5.5,20.15,6568.18833
2006/1/2,6,19.6,6636.45667
2006/1/2,6.5,19.5,6802.52833
2006/1/2,7,19.4,6990.35833
2006/1/2,7.5,19.45,7159.07
2006/1/2,8,19.5,7482.43833
2006/1/2,8.5,19.6,7721.50833
2006/1/2,9,19.7,8007.92
2006/1/2,9.5,19.9,8194.55833
2006/1/2,10,20.1,8287.84
2006/1/2,10.5,20.25,8354.12167
2006/1/2,11,20.4,8398.81333
